dotcom_event_name, prep_event_name
boards, boards
users, users
action_monthly_active_users_wiki_repo, action_monthly_active_users_wiki_repo
epic_notes, epic_notes
labels, labels
terraform_reports, terraform_reports
ci_stages, ci_stages
issue_resource_label_events, issue_resource_label_events
notes, notes
todos, todos
environments, environments
secure_stage_ci_jobs, secure_stage_ci_jobs
issues, issue_creation
secure_ci_build_creation, secure_ci_build_creation
action_monthly_active_users_project_repo, action_monthly_active_users_project_repo
epics, epic_creation
dast, dast_build_run
merge_request_notes, merge_request_note_creation
packages, package_creation
issue_notes, issue_note_creation
requirements, requirement_creation
successful_ci_pipelines, successful_ci_pipeline_creation
push_events, push_action
container_scanning, protect_ci_build_creation
releases, release_creation
deployments, deployment_creation
secret_detection, secret_detection_build_run
ci_pipelines, ci_pipeline_creation
license_scanning, license_scanning_build_run
merge_requests, merge_request_creation
sast, sast_build_run
events, action
dependency_scanning, dependency_scanning_build_run
issue_resource_milestone_events, issue_resource_milestone_events)

